accuracy,recall,precision,f1_score,model,classifier,pooling,penalty,kernel,regularization,max_iter,solver,embedding_dim,train_time
0.602881698685541,0.6028726615439064,0.602176444489977,0.6017724425349084,SWEM,lr,aver,l2,,0.0001,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.1917288303375244
0.6040192113245703,0.6040100783843458,0.603351901785867,0.6028701481161973,SWEM,lr,aver,l2,,0.0001438449888287663,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF43C750>>,2.192079782485962
0.605788675429727,0.6057793349036845,0.6052056342889757,0.6045927981469631,SWEM,lr,aver,l2,,0.00020691380811147902,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.286942958831787
0.6073053589484327,0.6072959705533768,0.6067179330160459,0.6061057050906077,SWEM,lr,aver,l2,,0.00029763514416313193,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF43C750>>,2.3512847423553467
0.6090748230535895,0.6090653229076431,0.6084625285575548,0.6078425790190877,SWEM,lr,aver,l2,,0.00042813323987193956,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.2846620082855225
0.6117290192113246,0.6117196149850943,0.6111374975999816,0.6105327229112407,SWEM,lr,aver,l2,,0.0006158482110660267,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF43C750>>,2.3551852703094482
0.6147623862487361,0.6147529342019428,0.6141951153605035,0.6135567858063086,SWEM,lr,aver,l2,,0.0008858667904100823,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.3256144523620605
0.6171638018200202,0.6171547012446753,0.6166171349610537,0.6160646838183109,SWEM,lr,aver,l2,,0.0012742749857031334,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF43C750>>,2.259169578552246
0.6210819009100101,0.6210727205973888,0.6205641895322546,0.6199343367658632,SWEM,lr,aver,l2,,0.0018329807108324356,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.282555103302002
0.6232305358948432,0.6232212438434445,0.6228227692053611,0.622069854246488,SWEM,lr,aver,l2,,0.0026366508987303583,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF43C750>>,2.2878482341766357
