accuracy,recall,precision,f1_score,model,vectorizer,penalty,regularization,max_iter,solver,vocab_size,train_time,name
0.6289649943131556,0.6289694228121053,0.6331413530357384,0.6296180062931244,LR,TFIDF,l1,0.1,200,saga,11819,1.4997766017913818,model_1
0.6680146594212056,0.6680218204630379,0.66953058290503,0.6662992064435175,LR,BOW,l1,0.1,200,saga,11819,37.151918172836304,model_2
0.6749652470617971,0.6749706673244775,0.6756574629576262,0.6749066214503839,LR,TFIDF,l1,0.26607250597988097,200,saga,11819,2.5714337825775146,model_3
0.6985972450398079,0.6986033688468826,0.6997022279421071,0.6973983453330592,LR,BOW,l1,0.26607250597988097,200,saga,11819,106.46889591217041,model_4
0.7361304182990016,0.7361330932476723,0.7359786128632361,0.7360115092354862,LR,TFIDF,l1,0.7079457843841379,200,saga,11819,31.10922360420227,model_5
0.7164160242638696,0.7164213340432785,0.7173339419124369,0.7156273719163261,LR,BOW,l1,0.7079457843841379,200,saga,11819,285.22541403770447,model_6
0.805889043346392,0.8058902350821194,0.8059579630204329,0.8058522793122619,LR,TFIDF,l1,1.8836490894898001,200,saga,11819,82.73909568786621,model_7
0.7320864400353848,0.7320909676634746,0.7329387120219474,0.7315563267490696,LR,BOW,l1,1.8836490894898001,200,saga,11819,496.52448177337646,model_8
0.8372298748894225,0.8372302210844699,0.8372867365698036,0.8372373430403502,LR,TFIDF,l1,5.011872336272722,200,saga,11819,139.6812686920166,model_9
0.7361304182990016,0.7361347703589085,0.736827388669599,0.7356335867194869,LR,BOW,l1,5.011872336272722,200,saga,11819,644.4688048362732,model_10
0.7219764943763427,0.7219801911120962,0.7222990271810531,0.7219149365038785,LR,TFIDF,l2,0.1,200,lbfgs,11819,1.1047654151916504,model_11
0.7679767471249842,0.7679812439546131,0.7696469685721015,0.767483262569693,LR,BOW,l2,0.1,200,lbfgs,11819,1.4193577766418457,model_12
0.7215973714141286,0.7216009243853794,0.7219307297220764,0.7215516925184061,LR,TFIDF,l2,0.1,200,saga,11819,1.0186948776245117,model_13
0.733350183242765,0.7333546949387371,0.7341938891995591,0.7327726161097144,LR,BOW,l2,0.1,200,saga,11819,5.128997087478638,model_14
0.7485151017313282,0.7485179847179708,0.7485501500244652,0.7484429368693393,LR,TFIDF,l2,0.26607250597988097,200,lbfgs,11819,1.3070690631866455,model_15
0.7989384557058006,0.7989418194778549,0.800475950844825,0.798737719538069,LR,BOW,l2,0.26607250597988097,200,lbfgs,11819,2.055588483810425,model_16
0.7497788449387085,0.7497816640757694,0.7497822891798877,0.7497059867161209,LR,TFIDF,l2,0.26607250597988097,200,saga,11819,1.016040325164795,model_17
0.7360040439782636,0.7360084120066214,0.736704631138784,0.7355024873702881,LR,BOW,l2,0.26607250597988097,200,saga,11819,5.0930938720703125,model_18
0.7846581574624036,0.7846603068691889,0.7846867360150425,0.7846204855322196,LR,TFIDF,l2,0.7079457843841379,200,lbfgs,11819,1.8716928958892822,model_19
0.825350688740048,0.8253528234742672,0.8265747018966412,0.8253040075453869,LR,BOW,l2,0.7079457843841379,200,lbfgs,11819,2.6533701419830322,model_20
0.7854164033868318,0.7854185528178391,0.7854071258896996,0.7853718645297993,LR,TFIDF,l2,0.7079457843841379,200,saga,11819,0.9996914863586426,model_21
0.7380260331100721,0.7380302414781426,0.7386577997682194,0.7375562321454083,LR,BOW,l2,0.7079457843841379,200,saga,11819,5.126421689987183,model_22
0.8148616201187918,0.8148631635358833,0.8148416299275644,0.814829578024456,LR,TFIDF,l2,1.8836490894898001,200,lbfgs,11819,2.6242635250091553,model_23
0.8383672437760648,0.8383689316964343,0.8392845535547755,0.8383899666402428,LR,BOW,l2,1.8836490894898001,200,lbfgs,11819,2.904340982437134,model_24
0.8148616201187918,0.8148631156184195,0.8148386883136438,0.8148323590927321,LR,TFIDF,l2,1.8836490894898001,200,saga,11819,1.1021850109100342,model_25
0.7386579047137621,0.7386621290745058,0.7393159215032427,0.7381991868514666,LR,BOW,l2,1.8836490894898001,200,saga,11819,5.143761157989502,model_26
0.8359661316820423,0.8359673084060937,0.8360357667513386,0.835968306466067,LR,TFIDF,l2,5.011872336272722,200,lbfgs,11819,2.6039633750915527,model_27
0.844559585492228,0.8445601555362545,0.8452311853378439,0.8446229254798213,LR,BOW,l2,5.011872336272722,200,lbfgs,11819,3.3731613159179688,model_28
0.8359661316820423,0.8359670688187743,0.8360310924051921,0.8359674780778028,LR,TFIDF,l2,5.011872336272722,200,saga,11819,1.5361385345458984,model_29
0.7386579047137621,0.7386621290745058,0.7392831909666703,0.7381969428168818,LR,BOW,l2,5.011872336272722,200,saga,11819,5.1268885135650635,model_30
