accuracy,recall,precision,f1_score,model,vectorizer,alpha,vocab_size,train_time,name
0.7974219638569443,0.7974255192504099,0.7986954648365101,0.7973557940272901,NB,tfidf,0.001,11819,0.43984198570251465,model_1
0.7788449387084544,0.7788492601878998,0.7807885873358091,0.778550687945407,NB,bow,0.001,11819,0.4102656841278076,model_2
0.7972955895362063,0.7972990650631949,0.7985313218748722,0.7972325917541108,NB,tfidf,0.001623776739188721,11819,0.4004988670349121,model_3
0.7789713130291924,0.7789757143751146,0.7809327521626682,0.7786748671212508,NB,bow,0.001623776739188721,11819,0.38350820541381836,model_4
0.7976747124984204,0.7976781401200562,0.7988877879476942,0.7976144600808747,NB,tfidf,0.0026366508987303583,11819,0.456878662109375,model_5
0.7792240616706685,0.7792285269146165,0.7811744633708301,0.7789125572664434,NB,bow,0.0026366508987303583,11819,0.38042235374450684,model_6
0.7976747124984204,0.7976780922025924,0.798886818771735,0.7976163185957889,NB,tfidf,0.004281332398719396,11819,0.4344780445098877,model_7
0.7794768103121446,0.7794813394541183,0.7814782065557684,0.779150805598147,NB,bow,0.004281332398719396,11819,0.4170973300933838,model_8
0.7984329584228484,0.7984363860687065,0.7997257942920196,0.798372498757578,NB,tfidf,0.0069519279617756054,11819,0.3813953399658203,model_9
0.7788449387084544,0.7788494039402915,0.7808825989721434,0.7785074434735321,NB,bow,0.0069519279617756054,11819,0.4796311855316162,model_10
0.7979274611398963,0.7979309047420943,0.7992221898471898,0.7978640226238233,NB,tfidf,0.011288378916846888,11819,0.40086817741394043,model_11
0.7779603184632883,0.7779647038044262,0.7799722938684178,0.7776309609706371,NB,bow,0.011288378916846888,11819,0.4000394344329834,model_12
0.7972955895362063,0.7972991129806589,0.7985907768655016,0.797205383750985,NB,tfidf,0.018329807108324356,11819,0.4315807819366455,model_13
0.776949323897384,0.7769537411512019,0.7789657926614076,0.7766011271419783,NB,bow,0.018329807108324356,11819,0.5355405807495117,model_14
0.796158220649564,0.796161887810075,0.7975219868377904,0.7960628715183004,NB,tfidf,0.029763514416313176,11819,0.46030521392822266,model_15
0.776191077972956,0.7761956389549431,0.7782666645798315,0.7758152413471177,NB,bow,0.029763514416313176,11819,0.4658777713775635,model_16
0.7947681031214457,0.7947717542650615,0.7961357580490626,0.7946623745272672,NB,tfidf,0.04832930238571752,11819,0.4867229461669922,model_17
0.7740427145204094,0.7740472594612792,0.776219496817565,0.7736513266310289,NB,bow,0.04832930238571752,11819,0.4414210319519043,model_18
0.7932516112725894,0.7932556457074722,0.7947308413293683,0.7931163472300878,NB,tfidf,0.07847599703514611,11819,0.44445133209228516,model_19
0.7716416024263869,0.771646307015433,0.7738132106850629,0.7711886557326032,NB,bow,0.07847599703514611,11819,0.4333765506744385,model_20
0.7897131302919247,0.7897174201735782,0.7911717315353765,0.7895284901159316,NB,tfidf,0.12742749857031335,11819,0.5935115814208984,model_21
0.7688613673701504,0.7688663753476531,0.7711606269768363,0.7683390230701393,NB,bow,0.12742749857031335,11819,0.42191076278686523,model_22
0.786427397952736,0.7864318155093305,0.7879142072511726,0.7862214629279975,NB,tfidf,0.20691380811147903,11819,0.4363088607788086,model_23
0.7631745229369392,0.7631796265677037,0.7657664872894404,0.7625665809257769,NB,bow,0.20691380811147903,11819,0.4602525234222412,model_24
0.7806141791987868,0.7806188521294857,0.7825091452768955,0.7803498256341678,NB,tfidf,0.3359818286283781,11819,0.7026782035827637,model_25
0.7600151649184885,0.7600206198430627,0.7628015642675097,0.7593221630719048,NB,bow,0.3359818286283781,11819,0.8232467174530029,model_26
0.7726525969922912,0.7726578446782243,0.7746118868134163,0.772293323344107,NB,tfidf,0.5455594781168515,11819,0.49909543991088867,model_27
0.7547074434474915,0.7547132815422216,0.757517528747067,0.7538412126432612,NB,bow,0.5455594781168515,11819,0.4721822738647461,model_28
0.761910779729559,0.7619170013941107,0.764151410738207,0.7612584294446217,NB,tfidf,0.8858667904100823,11819,0.5107729434967041,model_29
0.7456084923543536,0.7456150010029127,0.7486610510616475,0.7444443396025853,NB,bow,0.8858667904100823,11819,0.3852510452270508,model_30
0.7539491975230633,0.7539558501904575,0.7562689623717104,0.7532337022282625,NB,tfidf,1.438449888287663,11819,0.4199044704437256,model_31
0.7373941615063819,0.7374013726820047,0.7405354954581019,0.7360315740441177,NB,bow,1.438449888287663,11819,0.44628381729125977,model_32
0.742954631618855,0.7429620026969865,0.7453605226262311,0.7419375611131619,NB,tfidf,2.3357214690901213,11819,0.40286993980407715,model_33
0.7286743333754581,0.7286819276122373,0.7315980011477814,0.7271128627398271,NB,bow,2.3357214690901213,11819,0.3818981647491455,model_34
0.7348666750916214,0.7348743973061186,0.7373989013051033,0.7336780158780555,NB,tfidf,3.792690190732246,11819,0.4002721309661865,model_35
0.7209654998104386,0.7209731097734471,0.7233341527285878,0.7194360650534537,NB,bow,3.792690190732246,11819,0.39831972122192383,model_36
0.7258940983192216,0.7259029063762714,0.728610869610407,0.7243632950133176,NB,tfidf,6.158482110660261,11819,0.39818787574768066,model_37
0.7097181852647542,0.7097264018230103,0.7113651414538853,0.7081406320265092,NB,bow,6.158482110660261,11819,0.38390016555786133,model_38
0.7138885378491091,0.7138983358168955,0.7166673651836729,0.7121757238776398,NB,tfidf,10.0,11819,0.3965129852294922,model_39
0.7051687097181852,0.7051776928105308,0.7067753003247955,0.7038316161418665,NB,bow,10.0,11819,0.42913103103637695,model_40
