accuracy,recall,precision,f1_score,model,vectorizer,regularization,kernel,vocab_size,train_time,name
0.7234929862251991,0.7234971142665719,0.7243992934119748,0.7235426377300481,SVM,TFIDF,0.1,LINEAR,11819,144.0875244140625,model_1
0.7780866927840263,0.778092978855269,0.7818986853995931,0.7771896699929631,SVM,BOW,0.1,LINEAR,11819,153.62468338012695,model_2
0.7304435738657905,0.7304440444294559,0.737356089513782,0.7310536023405926,SVM,TFIDF,0.1,RBF,11819,196.25526690483093,model_3
0.6772399848350815,0.6772421467828837,0.6779045415678104,0.6774378128863824,SVM,BOW,0.1,RBF,11819,187.42632126808167,model_4
0.757487678503728,0.7574914402638374,0.757652469754329,0.7573323522025519,SVM,TFIDF,0.23713737056616552,LINEAR,11819,151.48645901679993,model_5
0.8133451282699355,0.8133496425213441,0.8169396308936302,0.8129869076543436,SVM,BOW,0.23713737056616552,LINEAR,11819,249.21849513053894,model_6
0.8111967648173891,0.8111998255037635,0.8116843841557154,0.8111752603195702,SVM,TFIDF,0.23713737056616552,RBF,11819,214.6234049797058,model_7
0.7593832933147985,0.7593905531103274,0.7605409692934729,0.7588520996909223,SVM,BOW,0.23713737056616552,RBF,11819,226.59629821777344,model_8
0.796284594970302,0.7962876711527955,0.7966164295918082,0.7961964529382094,SVM,TFIDF,0.5623413251903491,LINEAR,11819,191.8967182636261,model_9
0.8309111588525212,0.8309149389306297,0.8333351748430271,0.8308195865997611,SVM,BOW,0.5623413251903491,LINEAR,11819,303.7443799972534,model_10
0.893592821938582,0.8935936171638056,0.8936046022072514,0.8935903638465619,SVM,TFIDF,0.5623413251903491,RBF,11819,330.526264667511,model_11
0.8426639706811576,0.8426690928236985,0.8453194351482315,0.8424838647009744,SVM,BOW,0.5623413251903491,RBF,11819,332.59799671173096,model_12
0.8286364210792367,0.8286388593956899,0.8290103007009395,0.8286012007289808,SVM,TFIDF,1.333521432163324,LINEAR,11819,245.66559839248657,model_13
0.8323012763806394,0.8323045933010044,0.8342863251773873,0.8323093146908356,SVM,BOW,1.333521432163324,LINEAR,11819,408.31025099754333,model_14
0.9424996840641982,0.942499666254864,0.9425008213287357,0.9424893613273732,SVM,TFIDF,1.333521432163324,RBF,11819,510.3677010536194,model_15
0.8968785542777707,0.8968804676821144,0.8987945403231071,0.8970425756863717,SVM,BOW,1.333521432163324,RBF,11819,518.2154049873352,model_16
0.8429167193226337,0.8429190303153669,0.8434890823646145,0.8429064350704211,SVM,TFIDF,3.1622776601683795,LINEAR,11819,309.94699454307556,model_17
0.8304056615695691,0.8304083555023481,0.8317883344853613,0.8304407730200744,SVM,BOW,3.1622776601683795,LINEAR,11819,540.1902124881744,model_18
0.951725009478074,0.9517249280734909,0.9517294454440645,0.951706351487498,SVM,TFIDF,3.1622776601683795,RBF,11819,511.41823267936707,model_19
0.92253254138759,0.9225331298949486,0.9231407389395206,0.9226228672236879,SVM,BOW,3.1622776601683795,RBF,11819,567.7092335224152,model_20
