accuracy,recall,precision,f1_score,model,vectorizer,dataset,regularization,kernel,vocab_size,train_time
0.6961250849762066,0.6961201606024673,0.6987408823386083,0.697035509953178,SVM,TFIDF,VAL,1.8,RBF,9046,35.61757270002272
0.6179469748470429,0.6179533587135161,0.6298480391287467,0.6214289048815776,SVM,TFIDF,VAL,1.8,POLY,9046,38.742794499965385
0.6961250849762066,0.6961229343929213,0.6964457456138492,0.6961772897178772,SVM,TFIDF,VAL,1.8,LINEAR,9046,14.858891400042921
0.690006798096533,0.6900053395466239,0.6909694685236718,0.6904413796112907,SVM,TFIDF,VAL,1.8,SIGMOID,9046,15.524210599949583
0.6940856560163154,0.6940807311711636,0.695942626979198,0.6947596253703537,SVM,TFIDF,VAL,0.9,LINEAR,9046,14.080855600070208
0.6835486063902108,0.6835462217506777,0.6856086076288487,0.6843403242342491,SVM,BOW,VAL,1.8,LINEAR,9046,21.696335299988277
0.6978246091094493,0.6978208408745762,0.7005439728946631,0.6988502718899916,SVM,BOW,VAL,1,LINEAR,9046,17.31027949997224
0.699524133242692,0.6995073054706081,0.7133001520698098,0.7025631160614146,SVM,BOW,VAL,0.2,LINEAR,9046,14.970922600012273
0.6832087015635622,0.6831832019250106,0.705515732604897,0.6868194639542157,SVM,BOW,VAL,0.1,LINEAR,9046,14.486671200022101
0.7015635622025833,0.7015519357590131,0.7078422001161941,0.7033745201110068,SVM,BOW,VAL,0.4,LINEAR,9046,14.747101000044495
0.7019034670292318,0.7018882578515605,0.7113101167548305,0.7042014022070872,SVM,BOW,VAL,0.3,LINEAR,9046,14.71177529997658
0.7036029911624745,0.7035955258759977,0.7086746708370243,0.7052429835109676,SVM,BOW,VAL,0.5,LINEAR,9046,15.176459999987856
0.7025832766825288,0.7025754644365391,0.7068392835597722,0.703970990082838,SVM,BOW,VAL,0.6,LINEAR,9046,15.640478599932976
0.6968048946295038,0.6967990458160839,0.6998408944844212,0.6978610077026245,SVM,BOW,VAL,0.8,LINEAR,9046,17.935754899983294
0.6930659415363698,0.6930606697317051,0.6959859850626171,0.6940974744086531,SVM,BOW,VAL,1.2,LINEAR,9046,18.439683699980378
0.6889870836165873,0.6889838912119384,0.6915440526328509,0.6899377064865041,SVM,BOW,VAL,1.4,LINEAR,9046,19.909610800095834
0.6815091774303195,0.681508525938408,0.6834366166557948,0.6823343257199125,SVM,BOW,VAL,5,LINEAR,9046,30.59403439995367
0.6512576478585996,0.6512509794947541,0.6621749604619515,0.6542636986287965,SVM,BOW,VAL,0.5,RBF,9046,17.51802790001966
0.6747110808973488,0.6746960965833836,0.6822120780493864,0.6768054281271519,SVM,BOW,VAL,1,RBF,9046,17.846949099912308
0.7022433718558804,0.7022356751059241,0.7054738593215911,0.7033108827347955,SVM,BOW,VAL,0.7,LINEAR,9046,15.782565899891779
