accuracy,recall,precision,f1_score,model,classifier,pooling,penalty,kernel,regularization,max_iter,solver,embedding_dim,train_time,name
0.5968728755948335,0.5968132614921605,0.5915246646761525,0.5909716453131507,SWEM,svm,aver,,linear,0.1,,,100,19.296041250228882,svm_model_1
0.5632222977566281,0.5631865998183168,0.5606387628346797,0.5608729383489887,SWEM,svm,max,,linear,0.1,,,100,20.901655435562134,svm_model_2
0.6312032630863358,0.6311656160935323,0.6289750621146969,0.629292728429807,SWEM,svm,aver,,rbf,0.1,,,100,24.84863591194153,svm_model_3
0.5859959211420802,0.5859611530646918,0.584269337389636,0.5839542138752862,SWEM,svm,max,,rbf,0.1,,,100,26.541972398757935,svm_model_4
0.592114208021754,0.5920534370730963,0.5868147088665188,0.5861613207240585,SWEM,svm,aver,,linear,0.23713737056616552,,,100,19.386744260787964,svm_model_5
0.5639021074099252,0.5638668719271602,0.5611906590666077,0.5615731125852421,SWEM,svm,max,,linear,0.23713737056616552,,,100,22.7237286567688,svm_model_6
0.6424201223657376,0.6423810910704751,0.6396516878135801,0.6399433351895761,SWEM,svm,aver,,rbf,0.23713737056616552,,,100,21.474162578582764,svm_model_7
0.5938137321549966,0.5937849757640059,0.5921220032865635,0.592299030216587,SWEM,svm,max,,rbf,0.23713737056616552,,,100,23.78991198539734,svm_model_8
0.5904146838885113,0.5903537969724076,0.584926486780891,0.5843312758346095,SWEM,svm,aver,,linear,0.5623413251903491,,,100,21.611908674240112,svm_model_9
0.5622025832766825,0.5621675785502784,0.559560903270921,0.5599199256086329,SWEM,svm,max,,linear,0.5623413251903491,,,100,26.94626522064209,svm_model_10
0.6573759347382733,0.6573373691984439,0.6549799778872206,0.6552102768175904,SWEM,svm,aver,,rbf,0.5623413251903491,,,100,20.105867624282837,svm_model_11
0.5958531611148878,0.5958237117476961,0.5941757149857031,0.594354078847736,SWEM,svm,max,,rbf,0.5623413251903491,,,100,22.910488843917847,svm_model_12
0.5904146838885113,0.5903531035247943,0.5846930670582742,0.5841305426792153,SWEM,svm,aver,,linear,1.333521432163324,,,100,25.312719106674194,svm_model_13
0.5615227736233854,0.5614876531652416,0.5588475519663141,0.559243241068455,SWEM,svm,max,,linear,1.333521432163324,,,100,33.112725496292114,svm_model_14
0.659755268524813,0.659714507617522,0.6569668530408309,0.6573360608440971,SWEM,svm,aver,,rbf,1.333521432163324,,,100,22.55945587158203,svm_model_15
0.6094493541808294,0.6094236063436588,0.6081434370498261,0.6085284705387518,SWEM,svm,max,,rbf,1.333521432163324,,,100,25.267143487930298,svm_model_16
0.5914343983684568,0.5913724715166393,0.585705492340977,0.5851022611673901,SWEM,svm,aver,,linear,3.1622776601683795,,,100,30.825654983520508,svm_model_17
0.5615227736233854,0.5614876531652416,0.5588447016564615,0.5592600361935812,SWEM,svm,max,,linear,3.1622776601683795,,,100,45.65315055847168,svm_model_18
0.6641740312712441,0.6641328090869375,0.6617929943308963,0.6619561231951838,SWEM,svm,aver,,rbf,3.1622776601683795,,,100,21.687139987945557,svm_model_19
0.611148878314072,0.6111246333395743,0.61018054406587,0.6104571652947203,SWEM,svm,max,,rbf,3.1622776601683795,,,100,27.535401821136475,svm_model_20
0.5829367777022434,0.582878778422684,0.5770333519676725,0.5772711317447522,SWEM,lr,aver,l1,,0.1,200,saga,100,1.013524055480957,lr_model_1
0.5628823929299797,0.5628537449638368,0.5609441287458133,0.5614932188747397,SWEM,lr,max,l1,,0.1,200,saga,100,1.0058422088623047,lr_model_2
0.589055064581917,0.5889994937832422,0.5834688238536906,0.58397185157424,SWEM,lr,aver,l1,,0.26607250597988097,200,saga,100,1.0068774223327637,lr_model_3
0.5605030591434398,0.5604727925828844,0.5581396692159185,0.5588142112322098,SWEM,lr,max,l1,,0.26607250597988097,200,saga,100,1.1716892719268799,lr_model_4
0.5859959211420802,0.5859406963600935,0.5802185471077568,0.5810731031164088,SWEM,lr,aver,l1,,0.7079457843841379,200,saga,100,1.0630478858947754,lr_model_5
0.5598232494901427,0.559792173750234,0.5573241157470386,0.5580621139245767,SWEM,lr,max,l1,,0.7079457843841379,200,saga,100,2.5587663650512695,lr_model_6
0.5859959211420802,0.5859413898077069,0.5803829490956852,0.5813278233636712,SWEM,lr,aver,l1,,1.8836490894898001,200,saga,100,2.3045451641082764,lr_model_7
0.5601631543167913,0.5601319630808491,0.5576352291012682,0.5583732379389749,SWEM,lr,max,l1,,1.8836490894898001,200,saga,100,6.012111663818359,lr_model_8
0.5853161114887832,0.5852614644226701,0.5797151437932291,0.580606513421999,SWEM,lr,aver,l1,,5.011872336272722,200,saga,100,5.543853521347046,lr_model_9
0.5598232494901427,0.559792173750234,0.5572941687466701,0.5580499255561095,SWEM,lr,max,l1,,5.011872336272722,200,saga,100,10.43649673461914,lr_model_10
0.5887151597552686,0.5886593577288203,0.582958561749844,0.5836068948248874,SWEM,lr,aver,l2,,0.1,200,lbfgs,100,0.167236328125,lr_model_11
0.5876954452753229,0.5876396430131686,0.5818915101058635,0.5825959195054383,SWEM,lr,aver,l2,,0.1,200,saga,100,0.8682363033294678,lr_model_12
0.5601631543167913,0.5601323098046558,0.5576629003100919,0.5584037825978648,SWEM,lr,max,l2,,0.1,200,lbfgs,100,0.26912832260131836,lr_model_13
0.5584636301835486,0.5584323229801605,0.55594526489373,0.5566906369847794,SWEM,lr,max,l2,,0.1,200,saga,100,0.8350300788879395,lr_model_14
0.5856560163154316,0.5856005603056716,0.5798701939247781,0.5807053689225236,SWEM,lr,aver,l2,,0.26607250597988097,200,lbfgs,100,0.15123414993286133,lr_model_15
0.5859959211420802,0.5859403496362868,0.5801552485321143,0.5810176809518984,SWEM,lr,aver,l2,,0.26607250597988097,200,saga,100,0.8349044322967529,lr_model_16
0.5605030591434398,0.5604717524114641,0.5579535990471453,0.5587019690369367,SWEM,lr,max,l2,,0.26607250597988097,200,lbfgs,100,0.4180431365966797,lr_model_17
0.5594833446634943,0.5594520376958122,0.5569273232314083,0.5576885816869955,SWEM,lr,max,l2,,0.26607250597988097,200,saga,100,0.8346118927001953,lr_model_18
0.5849762066621346,0.5849209816444417,0.5791794157198201,0.5800992385270275,SWEM,lr,aver,l2,,0.7079457843841379,200,lbfgs,100,0.15394806861877441,lr_model_19
0.5846363018354861,0.5845815390376334,0.578963108430789,0.5798699203856521,SWEM,lr,aver,l2,,0.7079457843841379,200,saga,100,0.8682427406311035,lr_model_20
0.5594833446634943,0.559452384419619,0.5569578081681299,0.5577118592951225,SWEM,lr,max,l2,,0.7079457843841379,200,lbfgs,100,0.25022292137145996,lr_model_21
0.5598232494901427,0.559792173750234,0.5572964631354318,0.5580426266507059,SWEM,lr,max,l2,,0.7079457843841379,200,saga,100,0.8348746299743652,lr_model_22
0.5866757307953773,0.5866206217451303,0.5809685046667948,0.5818858358292255,SWEM,lr,aver,l2,,1.8836490894898001,200,lbfgs,100,0.11734342575073242,lr_model_23
0.5853161114887832,0.5852611176988635,0.5795912008168774,0.5805227292857146,SWEM,lr,aver,l2,,1.8836490894898001,200,saga,100,0.8683171272277832,lr_model_24
0.5601631543167913,0.5601319630808491,0.557614833081309,0.5583713577486678,SWEM,lr,max,l2,,1.8836490894898001,200,lbfgs,100,0.2838759422302246,lr_model_25
0.5598232494901427,0.559792173750234,0.5572964631354318,0.5580426266507059,SWEM,lr,max,l2,,1.8836490894898001,200,saga,100,0.8683960437774658,lr_model_26
0.5870156356220259,0.5869604110757453,0.5813058823684365,0.5821725930400666,SWEM,lr,aver,l2,,5.011872336272722,200,lbfgs,100,0.11674118041992188,lr_model_27
0.5853161114887832,0.5852611176988635,0.5795944468824844,0.5805492880641382,SWEM,lr,aver,l2,,5.011872336272722,200,saga,100,0.8683385848999023,lr_model_28
0.5601631543167913,0.5601319630808491,0.5576492259167386,0.5584164377130474,SWEM,lr,max,l2,,5.011872336272722,200,lbfgs,100,0.3687713146209717,lr_model_29
0.5598232494901427,0.559792173750234,0.5572964631354318,0.5580426266507059,SWEM,lr,max,l2,,5.011872336272722,200,saga,100,0.8647000789642334,lr_model_30
