accuracy,recall,precision,f1_score,model,vectorizer,penalty,regularization,max_iter,solver,vocab_size,train_time,name
0.5258327668252889,0.5259234988592787,0.5998823290727257,0.5122316430152142,LR,TFIDF,l1,0.1,200,saga,9046,0.39948582649230957,model_1
0.6179469748470429,0.6179793629990223,0.6468213382207565,0.6197613666212621,LR,BOW,l1,0.1,200,saga,9046,4.859637975692749,model_2
0.6261046906866078,0.6261360405528165,0.6557101723662653,0.6283506302248556,LR,TFIDF,l1,0.26607250597988097,200,saga,9046,0.4565315246582031,model_3
0.6570360299116248,0.6570423072388997,0.6701145935099563,0.6595254304409762,LR,BOW,l1,0.26607250597988097,200,saga,9046,10.869849443435669,model_4
0.6730115567641061,0.6730092852635448,0.6822757867204595,0.6750418613738635,LR,TFIDF,l1,0.7079457843841379,200,saga,9046,1.487410306930542,model_5
0.6753908905506458,0.6753881573016566,0.6838483026900724,0.6773233025246422,LR,BOW,l1,0.7079457843841379,200,saga,9046,32.5272421836853,model_6
0.6954452753229096,0.6954329540174887,0.7009204553242488,0.6970601209202254,LR,TFIDF,l1,1.8836490894898001,200,saga,9046,12.335265636444092,model_7
0.6855880353501019,0.6855797568772667,0.6922573303262958,0.6873272195640617,LR,BOW,l1,1.8836490894898001,200,saga,9046,83.9772720336914,model_8
0.6903467029231815,0.6903319533725826,0.6955970694330925,0.6919540434299104,LR,TFIDF,l1,5.011872336272722,200,saga,9046,32.210869550704956,model_9
0.6903467029231815,0.6903378476772972,0.6963832585723709,0.6920069479884693,LR,BOW,l1,5.011872336272722,200,saga,9046,145.55902218818665,model_10
0.6628144119646499,0.6627944551928825,0.6648894430687269,0.66351139956947,LR,TFIDF,l2,0.1,200,lbfgs,9046,0.23599004745483398,model_11
0.6821889870836166,0.6821863709806042,0.690793939825196,0.6843237833970802,LR,BOW,l2,0.1,200,lbfgs,9046,0.3720676898956299,model_12
0.6624745071380014,0.6624543191384608,0.664480416672931,0.6631423395677709,LR,TFIDF,l2,0.1,200,saga,9046,0.26624202728271484,model_13
0.6821889870836166,0.68218255701873,0.6890510063148433,0.6840329072562983,LR,BOW,l2,0.1,200,saga,9046,1.4526636600494385,model_14
0.6798096532970768,0.6797887758569279,0.6821019779448814,0.6805735095692883,LR,TFIDF,l2,0.26607250597988097,200,lbfgs,9046,0.3305399417877197,model_15
0.6954452753229096,0.695440928665044,0.7028970410575717,0.697270644992769,LR,BOW,l2,0.26607250597988097,200,lbfgs,9046,0.5656092166900635,model_16
0.6798096532970768,0.6797884291331212,0.6820048543216289,0.6805347747291922,LR,TFIDF,l2,0.26607250597988097,200,saga,9046,0.3124265670776367,model_17
0.6910265125764786,0.6910167328909137,0.6963667057626761,0.6924924890666698,LR,BOW,l2,0.26607250597988097,200,saga,9046,1.4635748863220215,model_18
0.6852481305234535,0.6852240182515411,0.6867186537065507,0.6856512026929491,LR,TFIDF,l2,0.7079457843841379,200,lbfgs,9046,0.5344817638397217,model_19
0.6947654656696125,0.6947596163847803,0.7024546174579624,0.69668226751256,LR,BOW,l2,0.7079457843841379,200,lbfgs,9046,0.6580343246459961,model_20
0.6862678450033991,0.68624511986242,0.6881527275139153,0.686776124079048,LR,TFIDF,l2,0.7079457843841379,200,saga,9046,0.296358585357666,model_21
0.6917063222297757,0.6916973517235641,0.6974408173518541,0.693257063501688,LR,BOW,l2,0.7079457843841379,200,saga,9046,1.4658982753753662,model_22
0.6930659415363698,0.6930422933699475,0.6954514428752397,0.6938702562988935,LR,TFIDF,l2,1.8836490894898001,200,lbfgs,9046,0.6847460269927979,model_23
0.690006798096533,0.6899984050704889,0.6974635308240448,0.6918336934268735,LR,BOW,l2,1.8836490894898001,200,lbfgs,9046,0.8516461849212646,model_24
0.69068660774983,0.6906634213318354,0.6931964332852982,0.6915273434173835,LR,TFIDF,l2,1.8836490894898001,200,saga,9046,0.31883859634399414,model_25
0.6934058463630184,0.6933959516528324,0.6989852044650915,0.6949068436726309,LR,BOW,l2,1.8836490894898001,200,saga,9046,1.3802344799041748,model_26
0.6954452753229096,0.6954222055794794,0.6976905447896747,0.6961900803424593,LR,TFIDF,l2,5.011872336272722,200,lbfgs,9046,1.3359994888305664,model_27
0.6835486063902108,0.6835361667602822,0.6900776475776476,0.6854217019540715,LR,BOW,l2,5.011872336272722,200,lbfgs,9046,0.9513530731201172,model_28
0.6954452753229096,0.6954225523032863,0.6978683857489544,0.6962389299166908,LR,TFIDF,l2,5.011872336272722,200,saga,9046,0.4319617748260498,model_29
0.6923861318830727,0.692375543489567,0.6976822016130463,0.6938212538737343,LR,BOW,l2,5.011872336272722,200,saga,9046,1.4248826503753662,model_30
