accuracy,recall,precision,f1_score,model,pooling,optim,lr,patience,min_delta,hidden_layers,output_size,dropout,epochs,batch_size,embedding_dim,train_time,name
0.6366417403127125,0.6366272094974584,0.6395634771492595,0.6374572963217546,MLP SWEM,aver,adam,0.001,15,0.0001,"[128, 64]",3,0.2,25/200,64,100,12.14022159576416,model_1
0.5934738273283481,0.5934451864333908,0.5923111540552402,0.5901464886637244,MLP SWEM,max,adam,0.001,15,0.0001,"[128, 64]",3,0.2,23/200,64,100,10.460761785507202,model_2
0.6012916383412644,0.6012086791903306,0.5937887725823691,0.587826008853965,MLP SWEM,aver,sgd,0.001,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,85.68427729606628,model_3
0.5761386811692726,0.5760874992198713,0.5726249932338989,0.5707008040713711,MLP SWEM,max,sgd,0.001,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,82.01252675056458,model_4
0.6366417403127125,0.6366064060690535,0.634911179661738,0.6331896107992768,MLP SWEM,aver,adam,0.001995262314968879,15,0.0001,"[128, 64]",3,0.2,21/200,64,100,10.664210081100464,model_5
0.5846363018354861,0.5845870866185413,0.5853105349660749,0.5802067282316213,MLP SWEM,max,adam,0.001995262314968879,15,0.0001,"[128, 64]",3,0.2,21/200,64,100,10.511118412017822,model_6
0.6080897348742352,0.6080093199359254,0.6044878622940004,0.5954061752991099,MLP SWEM,aver,sgd,0.001995262314968879,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,83.59539341926575,model_7
0.580217539089055,0.5801712122157732,0.5780759113639321,0.5756978637003906,MLP SWEM,max,sgd,0.001995262314968879,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,79.84070301055908,model_8
0.6216859279401767,0.621660876379094,0.6208467076245693,0.620902500381613,MLP SWEM,aver,adam,0.003981071705534973,15,0.0001,"[128, 64]",3,0.2,22/200,64,100,11.177706241607666,model_9
0.5744391570360299,0.5744405611378088,0.5798131102840566,0.5757567437608995,MLP SWEM,max,adam,0.003981071705534973,15,0.0001,"[128, 64]",3,0.2,17/200,64,100,7.640242099761963,model_10
0.6261046906866078,0.6260379177155061,0.6230995806449258,0.6175003463045109,MLP SWEM,aver,sgd,0.003981071705534973,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,83.72883081436157,model_11
0.5791978246091094,0.5791570450810294,0.5769357669480906,0.5758736928201099,MLP SWEM,max,sgd,0.003981071705534973,15,0.0001,"[128, 64]",3,0.2,200/200,64,100,81.41167116165161,model_12
0.6301835486063903,0.6301427808636196,0.6263392074662623,0.627169504348101,MLP SWEM,aver,adam,0.00794328234724282,15,0.0001,"[128, 64]",3,0.2,21/200,64,100,9.938583612442017,model_13
0.5673011556764106,0.5672716997094454,0.5651365251911232,0.5657048781561186,MLP SWEM,max,adam,0.00794328234724282,15,0.0001,"[128, 64]",3,0.2,20/200,64,100,9.61898946762085,model_14
0.6403806934058464,0.6403361140582634,0.638970124808926,0.6379606112799249,MLP SWEM,aver,sgd,0.00794328234724282,15,0.0001,"[128, 64]",3,0.2,197/200,64,100,80.0325973033905,model_15
0.5961930659415363,0.5961558731545625,0.5930565982740225,0.5931421302893325,MLP SWEM,max,sgd,0.00794328234724282,15,0.0001,"[128, 64]",3,0.2,177/200,64,100,71.67155265808105,model_16
0.6043507817811012,0.6042813455657493,0.5999913072890949,0.5951871230821975,MLP SWEM,aver,adam,0.01584893192461114,15,0.0001,"[128, 64]",3,0.2,22/200,64,100,9.829683542251587,model_17
0.5526852481305234,0.5525792783984134,0.5750506565575059,0.5258338652737685,MLP SWEM,max,adam,0.01584893192461114,15,0.0001,"[128, 64]",3,0.2,21/200,64,100,9.910844087600708,model_18
0.6427600271923861,0.6427087450678538,0.6395578605341568,0.6386579865672554,MLP SWEM,aver,sgd,0.01584893192461114,15,0.0001,"[128, 64]",3,0.2,117/200,64,100,46.66838097572327,model_19
0.5873555404486743,0.5873289784823207,0.5859875846435204,0.5865123357080376,MLP SWEM,max,sgd,0.01584893192461114,15,0.0001,"[128, 64]",3,0.2,110/200,64,100,43.36611890792847,model_20
0.5965329707681849,0.5964394932284841,0.6032260990102769,0.5786069907357237,MLP SWEM,aver,adam,0.03162277660168381,15,0.0001,"[128, 64]",3,0.2,30/200,64,100,13.771335363388062,model_21
0.5377294357579878,0.5376965057174755,0.5427413233516855,0.5391410090275369,MLP SWEM,max,adam,0.03162277660168381,15,0.0001,"[128, 64]",3,0.2,18/200,64,100,8.51538348197937,model_22
0.6451393609789259,0.6450827629726712,0.6421092431348828,0.6375677358649309,MLP SWEM,aver,sgd,0.03162277660168381,15,0.0001,"[128, 64]",3,0.2,65/200,64,100,29.106189966201782,model_23
0.5669612508497621,0.5668903035220204,0.5881440055033073,0.549294139982564,MLP SWEM,max,sgd,0.03162277660168381,15,0.0001,"[128, 64]",3,0.2,65/200,64,100,25.71900773048401,model_24
0.5394289598912304,0.5393070377998294,0.5367913779439111,0.49928003473477833,MLP SWEM,aver,adam,0.06309573444801936,15,0.0001,"[128, 64]",3,0.2,24/200,64,100,10.801173448562622,model_25
0.3354860639021074,0.3357118586476385,0.444633730834753,0.17160287002997224,MLP SWEM,max,adam,0.06309573444801936,15,0.0001,"[128, 64]",3,0.2,27/200,64,100,12.415890216827393,model_26
0.6522773623385452,0.6522547449152953,0.6526021386245885,0.6498743509042789,MLP SWEM,aver,sgd,0.06309573444801936,15,0.0001,"[128, 64]",3,0.2,45/200,64,100,17.538045406341553,model_27
0.5856560163154316,0.585604374267546,0.5898687386435187,0.5808766751563347,MLP SWEM,max,sgd,0.06309573444801936,15,0.0001,"[128, 64]",3,0.2,45/200,64,100,18.093260049819946,model_28
0.33378653976886474,0.33367346938775505,0.44452000453360535,0.1674312359789251,MLP SWEM,aver,adam,0.12589254117941687,15,0.0001,"[128, 64]",3,0.2,16/200,64,100,6.966804504394531,model_29
