accuracy,recall,precision,f1_score,model,pooling,optim,lr,patience,min_delta,hidden_layers,output_size,dropout,epochs,batch_size,embedding_dim,train_time
0.6463041547419323,0.6775525521744168,0.5508274401434249,0.5718339967383191,MLP SWEM,aver,adam,0.001,15,0.0001,"[128, 64]",3,0.2,100,64,100,32.60406255722046
0.6205467285108063,0.6699920758018761,0.5381021676220492,0.5520065716125235,MLP SWEM,aver,adam,0.0047315125896148025,15,0.0001,"[128, 64]",3,0.2,100,64,100,26.274901628494263
0.5774203098786145,0.6161037343110526,0.5166203646299355,0.5047816303550655,MLP SWEM,aver,adam,0.0223872113856834,15,0.0001,"[128, 64]",3,0.2,100,64,100,32.22741651535034
0.7315701174380737,0.33328837334772055,0.24388077378602446,0.281659637524222,MLP SWEM,aver,adam,0.10592537251772897,15,0.0001,"[128, 64]",3,0.2,100,64,100,37.84625053405762
0.09691108260140137,0.3334232533045589,0.36557760010528745,0.05898037944780743,MLP SWEM,aver,adam,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,100,64,100,91.74937891960144
0.5478140728313431,0.6351958180040761,0.5031436648536055,0.4979449571587928,MLP SWEM,aver,sgd,0.001,15,0.0001,"[128, 64]",3,0.2,100,64,100,128.75824761390686
0.6148228560150005,0.6746927062202196,0.53841748675599,0.552077868204816,MLP SWEM,aver,sgd,0.0047315125896148025,15,0.0001,"[128, 64]",3,0.2,100,64,100,128.4785919189453
0.6023882364551465,0.6771442229479804,0.535835691963054,0.544073258755981,MLP SWEM,aver,sgd,0.0223872113856834,15,0.0001,"[128, 64]",3,0.2,100,64,100,58.95744228363037
0.6774893910983913,0.6673972763259606,0.562259396233305,0.5866650932497267,MLP SWEM,aver,sgd,0.10592537251772897,15,0.0001,"[128, 64]",3,0.2,100,64,100,36.04574728012085
0.6519293397809138,0.6699516374577029,0.5503784697208166,0.5728467065761714,MLP SWEM,aver,sgd,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,100,64,100,26.904800415039062
0.5785058719036811,0.6111925602441778,0.5032646375327643,0.5049850704688376,MLP SWEM,max,adam,0.001,15,0.0001,"[128, 64]",3,0.2,100,64,100,37.721869468688965
0.5308398302575743,0.6091364399735238,0.49773151881963074,0.47862491364159815,MLP SWEM,max,adam,0.0047315125896148025,15,0.0001,"[128, 64]",3,0.2,100,64,100,32.1537983417511
0.5253133326754169,0.5881901169559121,0.4839624489891379,0.46723757348245787,MLP SWEM,max,adam,0.0223872113856834,15,0.0001,"[128, 64]",3,0.2,100,64,100,31.78836750984192
0.7316688048948978,0.3333333333333333,0.24388960163163262,0.28168157899735946,MLP SWEM,max,adam,0.10592537251772897,15,0.0001,"[128, 64]",3,0.2,100,64,100,37.45652198791504
0.17161748741734925,0.3333333333333333,0.05720582913911642,0.09765274034141959,MLP SWEM,max,adam,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,100,64,100,39.0476930141449
0.5533405704135005,0.6015005542803112,0.4937325351150281,0.4875773474092635,MLP SWEM,max,sgd,0.001,15,0.0001,"[128, 64]",3,0.2,100,64,100,128.2692666053772
0.5784071844468568,0.6239747545926688,0.5088303012319964,0.5098160691855446,MLP SWEM,max,sgd,0.0047315125896148025,15,0.0001,"[128, 64]",3,0.2,100,64,100,128.3059947490692
0.5681436889371361,0.629353975928435,0.5093453990174153,0.5053960370541152,MLP SWEM,max,sgd,0.0223872113856834,15,0.0001,"[128, 64]",3,0.2,100,64,100,58.41469478607178
0.5157406493634659,0.6164767019555831,0.49807295511487276,0.47281654900731745,MLP SWEM,max,sgd,0.10592537251772897,15,0.0001,"[128, 64]",3,0.2,100,64,100,38.56537437438965
0.5990328629231225,0.6012394800738221,0.5105885577872087,0.5115231697966337,MLP SWEM,max,sgd,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,100,64,100,29.14697003364563
