accuracy,recall,precision,f1_score,model,vectorizer,alpha,vocab_size,train_time,name
0.6125084976206662,0.6124595199955619,0.6081684743701213,0.6092206933844188,NB,tfidf,0.001,9046,0.14665865898132324,model_1
0.611148878314072,0.6110941216445803,0.6063648189398484,0.6064451311928791,NB,bow,0.001,9046,0.15602755546569824,model_2
0.6138681169272604,0.6138183305942153,0.6093344534497755,0.6104506853390396,NB,tfidf,0.001623776739188721,9046,0.12510347366333008,model_3
0.6118286879673691,0.6117733535820037,0.6068339234954686,0.60700726326607,NB,bow,0.001623776739188721,9046,0.11991763114929199,model_4
0.6148878314072059,0.6148380453098671,0.6103570553265119,0.6114302073293708,NB,tfidf,0.0026366508987303583,9046,0.15556550025939941,model_5
0.6125084976206662,0.6124529322432336,0.607512489472671,0.6076502168942056,NB,bow,0.0026366508987303583,9046,0.14830589294433594,model_6
0.6162474507138002,0.6161975493561339,0.6116614955959402,0.6128599408645142,NB,tfidf,0.004281332398719396,9046,0.11488509178161621,model_7
0.6131883072739633,0.6131325109044637,0.6081297827746656,0.6083240740854333,NB,bow,0.004281332398719396,9046,0.15136265754699707,model_8
0.6172671651937458,0.6172169173479789,0.6126108975421789,0.6138446580643112,NB,tfidf,0.0069519279617756054,9046,0.160355806350708,model_9
0.6145479265805575,0.6144916682269238,0.6094127179697253,0.6095897543111582,NB,bow,0.0069519279617756054,9046,0.11621356010437012,model_10
0.6220258327668253,0.6219746614242027,0.6171460088152344,0.6183891221607539,NB,tfidf,0.011288378916846888,9046,0.13078594207763672,model_11
0.6159075458871516,0.6158511722731906,0.610740580132553,0.6109321515671327,NB,bow,0.011288378916846888,9046,0.15356755256652832,model_12
0.6261046906866078,0.6260531735630033,0.6212931276761064,0.6225114485273981,NB,tfidf,0.018329807108324356,9046,0.16451072692871094,model_13
0.6210061182868797,0.6209497458514497,0.6158172257124471,0.6160378481249636,NB,bow,0.018329807108324356,9046,0.13199138641357422,model_14
0.628144119646499,0.6280919095466934,0.6231705227608145,0.6244091975305971,NB,tfidf,0.029763514416313176,9046,0.13338804244995117,model_15
0.6240652617267165,0.6240085432745984,0.6188770896492791,0.6190510557107406,NB,bow,0.029763514416313176,9046,0.1720585823059082,model_16
0.628823929299796,0.6287718349317301,0.6237364636187596,0.6250281364846696,NB,tfidf,0.04832930238571752,9046,0.1681222915649414,model_17
0.6271244051665533,0.6270666472501335,0.621782532233547,0.6219114476272116,NB,bow,0.04832930238571752,9046,0.1157979965209961,model_18
0.6312032630863358,0.6311503602460352,0.6259986753631686,0.6272847578234032,NB,tfidf,0.07847599703514611,9046,0.1369609832763672,model_19
0.6322229775662814,0.6321659142760061,0.6270556627981305,0.6271709105609985,NB,bow,0.07847599703514611,9046,0.18151116371154785,model_20
0.6397008837525493,0.6396478673018647,0.6344609794743504,0.6356467084332298,NB,tfidf,0.12742749857031335,9046,0.150984525680542,model_21
0.6352821210061182,0.6352236715277345,0.6298597514772353,0.6299523196797829,NB,bow,0.12742749857031335,9046,0.11672043800354004,model_22
0.6454792658055745,0.6454235924747065,0.6396945361699246,0.6405622482064417,NB,tfidf,0.20691380811147903,9046,0.19069385528564453,model_23
0.6397008837525493,0.6396416262733432,0.6342744305031928,0.6341013180615909,NB,bow,0.20691380811147903,9046,0.1530625820159912,model_24
0.6549966009517335,0.6549373470081202,0.6488481048950377,0.6491705093373624,NB,tfidf,0.3359818286283781,9046,0.13389277458190918,model_25
0.6444595513256288,0.6443997170733736,0.6388908858204115,0.6388045290549894,NB,bow,0.3359818286283781,9046,0.13518595695495605,model_26
0.6617946974847043,0.6617331336204207,0.655365425011959,0.6553307138069758,NB,tfidf,0.5455594781168515,9046,0.14870357513427734,model_27
0.6519374575118967,0.6518743888992906,0.6460111238118293,0.645454369696073,NB,bow,0.5455594781168515,9046,0.15290379524230957,model_28
0.6641740312712441,0.6641085384204649,0.6579951749386118,0.6563911916026389,NB,tfidf,0.8858667904100823,9046,0.1470329761505127,model_29
0.6577158395649219,0.6576494206245189,0.6519232968517457,0.650114946291709,NB,bow,0.8858667904100823,9046,0.18545031547546387,model_30
0.6614547926580557,0.6613877967088976,0.6557876170218272,0.6529483353350928,NB,tfidf,1.438449888287663,9046,0.13543367385864258,model_31
0.6556764106050306,0.6556051370599209,0.6493578692322727,0.6466224559792275,NB,bow,1.438449888287663,9046,0.15175247192382812,model_32
0.6638341264445955,0.6637614678899082,0.6597284997444337,0.6534997736762093,NB,tfidf,2.3357214690901213,9046,0.1184382438659668,model_33
0.6624745071380014,0.6623967629865403,0.6574263242493511,0.6513140723906379,NB,bow,2.3357214690901213,9046,0.13852930068969727,model_34
0.6655336505778382,0.6654524398954281,0.6641438186148202,0.6525404571292402,NB,tfidf,3.792690190732246,9046,0.1465749740600586,model_35
0.6611148878314073,0.6610278973974911,0.6591065823571106,0.64666631241316,NB,bow,3.792690190732246,9046,0.1446540355682373,model_36
0.6621346023113528,0.6620486522845632,0.6659222256977896,0.6473910298493782,NB,tfidf,6.158482110660261,9046,0.1350719928741455,model_37
0.6532970768184908,0.6532002607363027,0.6542516550919092,0.6348237590015501,NB,bow,6.158482110660261,9046,0.14335870742797852,model_38
0.6577158395649219,0.6576258434056599,0.6633968332255843,0.641324308115942,NB,tfidf,10.0,9046,0.14675092697143555,model_39
0.6420802175390891,0.6419723037023167,0.6507355427945547,0.6181692160739987,NB,bow,10.0,9046,0.16559720039367676,model_40
